print_id,title,event,venues,flags,show_detail,tour
340083,Goose Cologne 26 Schwalbe - 1st,"May 30, 2026","Burgerhaus Stollwerk - Köln, GER","venue mismatch on 2026-05-30: EB=['burgerhaus', 'ger', 'stollwerk'] db=Bürgerhaus Stollwerck","2026-05-30 Bürgerhaus Stollwerck (Cologne, DEU)",
339975,Goose European Tour 26 Hacker - 1st,2026 European Tour,"Melkweg - Amsterdam, NED",unassigned — no show or tour; no parseable event date,,
339687,Goose San Jose Del Cabo 26 Andreawan - 1st,"May 9, 2026","El Gonzo Sculpture Garden - Los Cabos, MEX",2 shows on 2026-05-09,"2026-05-09 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-09 Hotel El Ganzo (San José del Cabo, MEX)",
339686,Goose San Jose Del Cabo 26 Caraza - 1st,"May 8, 2026","El Gonzo Sculpture Garden - Los Cabos, MEX",no instagram link: Karla Caraza,"2026-05-08 Hotel El Ganzo (San José del Cabo, MEX)",
339684,Goose San Jose Del Cabo 26 Nava - 1st,"May 7, 2026","El Gonzo Sculpture Garden - Los Cabos, MEX",2 shows on 2026-05-07; no instagram link: Joaquin Nava,"2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-07 Hotel El Ganzo (San José del Cabo, MEX)",
339682,Goose San Jose Del Cabo 26 Garcia - 1st,"May 7, 2026","El Gonzo Sculpture Garden - Los Cabos, MEX",2 shows on 2026-05-07,"2026-05-07 Hotel El Ganzo (San José del Cabo, MEX) | 2026-05-07 Hotel El Ganzo (San José del Cabo, MEX)",
339489,Goose Irving 26 Burwell - 1st,"April 25, 2026","The Pavilion at Toyota Music Factory, Irving TX",no instagram link: Guy Burwell,"2026-04-25 The Pavilion at Toyota Music Factory (Irving, TX)",
339394,Goose New Orleans 26 Mazza - Show,"April 21-22, 2026","Saenger Theatre - New Orleans, LA",no instagram link: Jim Mazza,"2026-04-21 Saenger Theatre (New Orleans, LA) | 2026-04-22 Saenger Theatre (New Orleans, LA)",
339212,Goose Asheville 26 Rushing - 1st,"April 10, 2026","Exploreasheville Arena - Asheville, NC",no instagram link: Taylor Rushing,"2026-04-10 ExploreAsheville.com Arena (Asheville, NC)",
339189,Goose Asheville 26 Tatum - 1st,"April 10, 2026","Exploreasheville Arena - Asheville, NC",no instagram link: Hannah Tatum,"2026-04-10 ExploreAsheville.com Arena (Asheville, NC)",
337806,Goose Dragonfly Pin 21 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Danny Steinman,,
337737,Goose Frog Tote Bag 24 - 1st,Summer Tour 2024,*multiple venues,tour matched fuzzily: '2024 Summer'; no parseable event date; no instagram link: Goose,,2024 Summer
337735,Goose Flower Hand 24 - Bottle,Summer Tour 2024,*multiple venues,tour matched fuzzily: '2024 Summer'; no parseable event date; no instagram link: Goose,,2024 Summer
337718,Goose Reflection 24 - Enamel Pin,Summer Tour 2024,*multiple venues,tour matched fuzzily: '2024 Summer'; no parseable event date; no instagram link: Goose,,2024 Summer
337717,Goose Stacked Logo Holographic Sticker 24 - 1st,Summer Tour 2024,*multiple venues,tour matched fuzzily: '2024 Summer'; no parseable event date; no instagram link: Goose,,2024 Summer
337716,Goose Stars Logo Sticker 24 - 1st,Summer Tour 2024,*multiple venues,tour matched fuzzily: '2024 Summer'; no parseable event date; no instagram link: Goose,,2024 Summer
337709,Goose West Coast Tour 22 Berndt - 1st,,"Marquee Theatre - Tempe, AZ",unassigned — no show or tour; no parseable event date; no instagram link: Simon Berndt,,
337641,Goose Bonner VIP Tote 24 - 1st,"September 19-20, 2024","Kettlehouse Amphitheater - Bonner, MT",no instagram link: Goose,"2024-09-19 KettleHouse Amphitheater (Bonner-West Riverside, MT) | 2024-09-20 KettleHouse Amphitheater (Bonner-West Riverside, MT)",
337640,Goose Magna VIP Tote 24 - 1st,"September 17, 2024","Great Saltair, The - Magna, UT",no instagram link: Goose,"2024-09-17 The Great Saltair III (Magna, UT)",
337636,Goose Greenwood Village VIP Ticket 25 - 1st,"June 6-7, 2025",,no instagram link: *Unknown,"2025-06-06 Fiddler's Green Amphitheatre (Greenwood Village, CO) | 2025-06-07 Fiddler's Green Amphitheatre (Greenwood Village, CO)",
337635,Goose Greenwood Village VIP Tote 25 - 1st,"June 6-7, 2025",,no instagram link: Goose,"2025-06-06 Fiddler's Green Amphitheatre (Greenwood Village, CO) | 2025-06-07 Fiddler's Green Amphitheatre (Greenwood Village, CO)",
337607,Goose Jigsaw Puzzle Dragon 24 Lyons - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Chris Lyons,,
337606,Goose Jigsaw Puzzle 24 Sax - 1st,,,unassigned — no show or tour; no parseable event date,,
337605,Goose Jigsaw Puzzle Ducks 24 Mahn - 1st,,,unassigned — no show or tour; no parseable event date,,
337604,Goose Jigsaw Puzzle Frogs 24 Slater - 1st,,,unassigned — no show or tour; no parseable event date,,
337602,Goose Gives Me Treats Sticker 25 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337601,Goose Rockdale Heron Koozie 25 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337598,Goose Lotus Pin 22 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Micah Hughes,,
337574,Goose Viva El Gonzo 25 - Floral Sunset Sticker,Viva El Gonzo Festival 5/8-11/2025,"San Jose, Del Cabo, Mexico",2 shows on 2025-05-10; no instagram link: Goose,"2025-05-08 Hotel El Ganzo (San José del Cabo, MEX) | 2025-05-09 Hotel El Ganzo (San José del Cabo, MEX) | 2025-05-10 Hotel El Ganzo (San José del Cabo, MEX) | 2025-05-10 Hotel El Ganzo (San José del Cabo, MEX)",
337573,Goose Sticker Pack 21 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337572,Goose Triangle Eye Koozie 21 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337571,Goose Tree Connection Holo Foil Sticker 25 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337569,Goose Fancy Penguin Script Sticker 25 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Taylor Rushing,,
337545,Goose Ted Tapes 2024 Bandana - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: *Unknown,,
337544,Goose Smiling Sun 25 - Koozie,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337542,Goose Blood Moon 25 - Sticker,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337541,Goose Band Member Sticker Pack 25 - 1st,,,unassigned — no show or tour; no parseable event date,,
337540,Goose CYD Button Set 25 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Kevin Bergkvist,,
337539,Goose Tiger Bird Magnet Set 25 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337534,Goose Goosemas Crystal Ball 25 - Koozie,Goosemas XII 2025,"Amica Mutual Pavilion - Providence, RI",unassigned — no show or tour; no parseable event date,,
337533,Goose Goosemas Juggler 25 - Sticker,Goosemas XII 2025,"Amica Mutual Pavilion - Providence, RI",unassigned — no show or tour; no parseable event date,,
337531,Goose Goosemas Clown 25 - Sticker,Goosemas XII 2025,"Amica Mutual Pavilion - Providence, RI",unassigned — no show or tour; no parseable event date,,
337529,Goose Goosemas Circus Tents 25 - Sticker,Goosemas XII 2025,"Amica Mutual Pavilion - Providence, RI",unassigned — no show or tour; no parseable event date,,
337301,Goose Chain Yer Dragon - 3xLP Vinyl 25 - White Ash,,,unassigned — no show or tour; no parseable event date; no instagram link: Kevin Bergkvist,,
337300,Goose Live in New York (Limited Edition 2-LP Vinyl) 25 - 1st,,Luna Luna at The Shed in New York City,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
337223,The el Goose Times Vol. 14 Goosemas XII 25 - 1st,Goosemas XII 2025,"Amica Mutual Pavilion - Providence, RI",unassigned — no show or tour; no parseable event date; no instagram link: Jon Caruso,,
337112,Goose Providence 25 Biffle - 1st,"Goosemas: December 12-13, 2025","Amica Mutual Pavilion - Providence, RI",no instagram link: Richard Biffle,"2025-12-12 Amica Mutual Pavilion (Providence, RI) | 2025-12-13 Amica Mutual Pavilion (Providence, RI)",
336869,Goose Shenanigans Sticker 21 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
336867,Goose Fred the Festival Handout 21 - 1st,Fred the Festival,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
335472,The el Goose Times Vol. 13 Summer 25 - 1st,Summer Tour 2025,*multiple venues,tour matched fuzzily: '2025 Summer'; no parseable event date; no instagram link: Jon Caruso,,2025 Summer
335471,The el Goose Times Goosemas XI 24 - 1st,Goosemas XI (December 2024),,unassigned — no show or tour; no parseable event date; no instagram link: Jon Caruso,,
335470,The el Goose Times Vol. 12 Oct. 24 - 1st,Fall Tour 2024,*multiple venues,tour matched fuzzily: '2024 Fall'; no parseable event date; no instagram link: Jon Caruso,,2024 Fall
335469,The el Goose Times Vol. 12 October 24 - 1st,Fall Tour 2024,*multiple venues,tour matched fuzzily: '2024 Fall'; no parseable event date; no instagram link: Jon Caruso,,2024 Fall
335468,The el Goose Times Vol. 11 June 24 - 1st,Summer Tour 2024,*multiple venues,tour matched fuzzily: '2024 Summer'; no parseable event date; no instagram link: Jon Caruso,,2024 Summer
335220,Goose Richmond 25 Tatum - 1st,"October 2-3, 2025","Allianz Amphitheater at Riverfront - Richmond, VA",no instagram link: Hannah Tatum,"2025-10-02 Allianz Amphitheater at Riverfront (Richmond, VA) | 2025-10-03 Allianz Amphitheater at Riverfront (Richmond, VA)",
335002,Goose Louisville 25 Gardner - 1st,"September 23-24, 2025","Palace - Louisville, KY",no instagram link: Paul Gardner,"2025-09-23 Louisville Palace Theatre (Louisville, KY) | 2025-09-24 Louisville Palace Theatre (Louisville, KY)",
335000,Goose Louisville 25 Williamson - 1st,"September 23-24, 2025","Palace - Louisville, KY",no instagram link: Caleb Williamson,"2025-09-23 Louisville Palace Theatre (Louisville, KY) | 2025-09-24 Louisville Palace Theatre (Louisville, KY)",
334975,Goose Chicago 25 Spusta - 1st,"September 20, 2025","Huntington Bank Pavilion at Northerly Island - Chicago, IL",no instagram link: Marq Spusta,"2025-09-20 Huntington Bank Pavilion at Northerly Island (Chicago, IL)",
334929,Goose Chicago 25 Mazza - 1st,"September 20, 2025","Huntington Bank Pavilion at Northerly Island - Chicago, IL",no instagram link: Jim Mazza,"2025-09-20 Huntington Bank Pavilion at Northerly Island (Chicago, IL)",
334203,Goose Park City 25 Quattlebaum - 1st,"August 16, 2025","Park City Song Summit - Park City, UT",no instagram link: Austin Quattlebaum,"2025-08-16 City Park (Park City, UT)",
333685,Goose Phoenix 25 Fahim - 1st,,"Arizona Financial Theatre - Phoenix, AZ",unassigned — no show or tour; no parseable event date; no instagram link: Isaq Fahim,,
333569,Goose Jeni's Goose Tracks 25 Blomerth - 1st,,,unassigned — no show or tour; no parseable event date,,
333193,Goose New Haven 25 Taylor - 1st,"June 29, 2025","Westville Music Bowl - New Haven, CT",no instagram link: Christian Taylor,"2025-06-29 Westville Music Bowl (New Haven, CT)",
332935,Goose Summer Tour VIP 25 Adkins - Artist,Summer Tour 5/30-6/29/2025,*multiple venue tour poster,no instagram link: Carolyn Lee Adkins,"2025-05-30 Hayden Homes Amphitheater (Bend, OR) | 2025-05-31 Spokane Pavilion (Spokane, WA) | 2025-06-01 Outlaw Field at Idaho Botanical Garden (Boise, ID) | 2025-06-03 Brooklyn Bowl Las Vegas (Las Vegas, NV) | 2025-06-04 Arizona Financial Theatre (Phoenix, AZ) | 2025-06-06 Fiddler's Green Amphitheatre (Greenwood Village, CO) | 2025-06-07 Fiddler's Green Amphitheatre (Greenwood Village, CO) | 2025-06-10 The Factory (Chesterfield, MO) | 2025-06-11 The Factory (Chesterfield, MO) | 2025-06-12 Everwise Amphitheater at White River State Park (Indianapolis, IN) | 2025-06-13 Great Stage Park (Manchester, TN) | 2025-06-15 Merriweather Post Pavilion (Columbia, MD) | 2025-06-17 Live Oak Bank Pavilion (Wilmington, NC) | 2025-06-19 Jacob's Pavilion at Nautica (Cleveland, OH) | 2025-06-20 Jacob's Pavilion at Nautica (Cleveland, OH) | 2025-06-21 Constellation Brands – Marvin Sands Performing Arts Center (Canandaigua, NY) | 2025-06-22 Belleayre Mountain (Highmount, NY) | 2025-06-23 Racket NYC (New York, NY) | 2025-06-27 BankNH Pavilion (Gilford, NH) | 2025-06-28 Madison Square Garden (New York, NY) | 2025-06-29 Westville Music Bowl (New Haven, CT)",
332927,Goose Cleveland 25 Mazza - 1st,"June 19-20, 2025","Jacobs Pavilion at Nautica - Cleveland, OH",no instagram link: Jim Mazza,"2025-06-19 Jacob's Pavilion at Nautica (Cleveland, OH) | 2025-06-20 Jacob's Pavilion at Nautica (Cleveland, OH)",
332893,Goose Wilmington 25 Decker - 1st,"June 17, 2025",Live Oak Bank Pavilion - Wilmington NC,no instagram link: Matt Decker,"2025-06-17 Live Oak Bank Pavilion (Wilmington, NC)",
332682,Goose St. Louis 25 Landland - 1st,"June 10-11, 2025","The Factory, St.Louis MO",no instagram link: Landland,"2025-06-10 The Factory (Chesterfield, MO) | 2025-06-11 The Factory (Chesterfield, MO)",
332517,Goose Bend 25 Stiles - 1st,"May 30, 2025","Hayden Homes Amphitheater - Bend, OR",no instagram link: Daniel Stiles,"2025-05-30 Hayden Homes Amphitheater (Bend, OR)",
330882,Goose EMG New York City 25 Blomerth - Paper,Goose x Luna Luna: The Everything Must Go Experience,"The Shed - New York, NY",unassigned — no show or tour; no parseable event date,,
330412,Goose Grand Rapids N2 25 Loeffler - 1st,"February 14, 2025","GLC Live at 20 Monroe - Grand Rapids, MI",no instagram link: Max Loeffler,"2025-02-14 GLC Live at 20 Monroe (Grand Rapids, MI)",
330209,Goose Milwaukee 25 Adkins - 1st,"February 6-8, 2025","Miller High Life Theatre - Milwaukee, WI",no instagram link: Carolyn Lee Adkins,"2025-02-06 Miller High Life Theatre (Milwaukee, WI) | 2025-02-07 Miller High Life Theatre (Milwaukee, WI) | 2025-02-08 Miller High Life Theatre (Milwaukee, WI)",
330007,Goose Everything Must Go 3xLP Vinyl 25 - Web Store Exclusive,,,unassigned — no show or tour; no parseable event date,,
329439,Goose Austin 24 Rushing - 1st,"December 30-31, 2024","Moody Center - Austin, TX",no instagram link: Taylor Rushing,"2024-12-30 Moody Center (Austin, TX) | 2024-12-31 Moody Center (Austin, TX)",
329174,Goose North Charleston 24 Mazza Kloc - 1st,"Goosemas: December 13-14, 2024","North Charleston Col - N. Charleston, SC",no instagram link: Jim Mazza,"2024-12-13 North Charleston Coliseum & Performing Arts Center (North Charleston, SC) | 2024-12-14 North Charleston Coliseum & Performing Arts Center (North Charleston, SC)",
328216,Goose Fall Tour 24 Gipple - 1st,2024 Fall Tour,*multiple venue tour poster,no parseable event date,,2024 Fall
328123,Goose St. Augustine 24 Perez - 1st,"November 1-2, 2024","St. Augustine Amp - St. Augustine, FL",no instagram link: Derek Perez,"2024-11-01 The St. Augustine Amphitheatre (St. Augustine, FL) | 2024-11-02 The St. Augustine Amphitheatre (St. Augustine, FL)",
328090,Goose Miami Beach 24 Powers - 1st,"October 29-30, 2024","Fillmore Miami Beach - Miami Beach, FL",no instagram link: Max Powers,"2024-10-29 The Fillmore Miami Beach (Miami Beach, FL) | 2024-10-30 The Fillmore Miami Beach (Miami Beach, FL)",
328087,Goose Miami Beach 24 Morlan - 1st,"October 29-30, 2024","Fillmore Miami Beach - Miami Beach, FL",no instagram link: Garrett Maurer Morlan,"2024-10-29 The Fillmore Miami Beach (Miami Beach, FL) | 2024-10-30 The Fillmore Miami Beach (Miami Beach, FL)",
327984,Goose Nashville 24 Loeffler - 1st,"October 24, 2024","Ascend Amphitheater - Nashville, TN",no instagram link: Max Loeffler,"2024-10-24 Ascend Amphitheater (Nashville, TN)",
327925,Goose Winston-Salem / Birmingham 24 Leaming - 1st,"October 25-26, 2024","Lawrence Joel VMC - Winston-Salem, NC | Avondale Brewing Company Birmingham AL",no instagram link: Alex Leaming,"2024-10-25 Lawrence Joel Veterans Memorial Coliseum (Winston-Salem, NC) | 2024-10-26 Avondale Brewing Company (Birmingham, AL)",
327211,Goose Bonner 24 Kramer - 1st,"September 19-20, 2024","Kettlehouse Amphitheater - Bonner, MT",no instagram link: Jeremy Kramer,"2024-09-19 KettleHouse Amphitheater (Bonner-West Riverside, MT) | 2024-09-20 KettleHouse Amphitheater (Bonner-West Riverside, MT)",
327129,Goose Magna 24 Decker - 1st,"September 17, 2024","Great Saltair, The - Magna, UT",no instagram link: Matt Decker,"2024-09-17 The Great Saltair III (Magna, UT)",
327096,Goose Waukee 24 Mikaela - 1st,"September 15, 2024","Vibrant Music Hall - Waukee, IA",no instagram link: Jane Mikaela,"2024-09-15 Vibrant Music Hall (Waukee, IA)",
327017,Goose Chicago N2 24 Grzeca - 1st,"September 12, 2024","The Salt Shed, Chicago IL",no instagram link: Dan Grzeca,"2024-09-12 The Salt Shed (Chicago, IL)",
326649,Goose London 23 Wakefield - 1st,2023-11-19,"Electric Ballroom - London, GBR",unassigned — no show or tour; no parseable event date; no instagram link: Tim Wakefield,,
326535,Goose Saratoga Springs 24 Tortuga Design Studios - 1st,"September 6-7, 2024","Saratoga Performing Arts Center (SPAC) - Saratoga Springs, NY",no instagram link: Tortuga Design Studios,"2024-09-06 Broadview Stage at SPAC (Saratoga Springs, NY) | 2024-09-07 Broadview Stage at SPAC (Saratoga Springs, NY)",
326516,Goose Boston N2 24 Wagers - 1st,"September 3, 2024","MGM Music Hall at Fenway Park, Boston MA",no instagram link: Charlie Wagers,"2024-09-03 MGM Music Hall at Fenway (Boston, MA)",
325281,Goose Hot Tea 24 Pollock - Red,,,unassigned — no show or tour; no parseable event date,,
325002,Goose Philadelphia 24 Spusta - 1st,"June 28, 2024","Mann Center - Philadelphia, PA",no instagram link: Marq Spusta,"2024-06-28 TD Pavilion at The Mann (Philadelphia, PA)",
324500,Goose Atlanta N1 24 Mazza - Show,"June 20, 2024","Fox Theatre - Atlanta, GA",no instagram link: Jim Mazza,"2024-06-20 Fox Theatre (Atlanta, GA)",
324325,Goose Canandaigua 24 Cohen - 1st,"June 15, 2024","CMAC Performing Arts Center - Canandaigua, NY",no instagram link: Evan Cohen,"2024-06-15 Constellation Brands – Marvin Sands Performing Arts Center (Canandaigua, NY)",
324260,Goose Indianapolis 24 Stiles - 1st,"June 12, 2024","White River State Park - Indianapolis, IN",no instagram link: Daniel Stiles,"2024-06-12 Everwise Amphitheater at White River State Park (Indianapolis, IN)",
324217,Goose Omaha 24 Lyons - 1st,"June 10, 2024","SteelHouse, Omaha NE",no instagram link: Chris Lyons,"2024-06-10 Steelhouse Omaha (Omaha, NE)",
324134,Goose St. Louis N2 24 Schaw - 1st,"June 4-5, 2024","The Factory, St.Louis MO",no instagram link: Peter Schaw,"2024-06-04 The Factory (Chesterfield, MO) | 2024-06-05 The Factory (Chesterfield, MO)",
323868,Goose Chillicothe 24 Kramer - 1st,"May 24-26, 2024","Three Sisters Park - Chillicothe, IL",no instagram link: Jeremy Kramer,"2024-05-26 Three Sisters Park (Chillicothe, IL)",
323426,Goose Wilton 24 McGeehan - 1st,"April 24, 2024","Wilton High School, Wilton CT",2 shows on 2024-04-24,"2024-04-24 Wilton High School (Clune Auditorium) (Wilton, CT) | 2024-04-24 Wilton High School (Clune Auditorium) (Wilton, CT)",
323322,Goose Wilton 24 Huang - 1st,"April 24, 2024","Wilton High School, Wilton CT",2 shows on 2024-04-24; no instagram link: Bernie Huang,"2024-04-24 Wilton High School (Clune Auditorium) (Wilton, CT) | 2024-04-24 Wilton High School (Clune Auditorium) (Wilton, CT)",
322814,Goose Red Dragonfly Hat Pin 23 - Red,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
322813,Goose GooseSprout Pin 23 - Rainbow Glow,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
321733,Goose Goosemas VIII Pin 23 - Blue Venue,Goosemas VIII,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
321423,Goose Hampton Space Badge 23 Mate - Sticker,"December 8-9, 2023",,no instagram link: Riley Mate,"2023-12-08 Hampton Coliseum (Hampton, VA) | 2023-12-09 Hampton Coliseum (Hampton, VA)",
320253,Goose Kansas City [Sticker] 22 Lange - 1st,2022-10-11,"Midland Theater - Kansas City, MO",unassigned — no show or tour; no parseable event date; no instagram link: KC Lange,,
320008,Goose Hampton 23 Tatum - 1st,"December 8-9, 2023","Hampton Coliseum - Hampton, VA",no instagram link: Hannah Tatum,"2023-12-08 Hampton Coliseum (Hampton, VA) | 2023-12-09 Hampton Coliseum (Hampton, VA)",
319314,Goose Bristol 23 Rassi - Regular,"November 18, 2023","Thekla - Bristol, GBR",no instagram link: Jessica Rassi,"2023-11-18 Thekla (Bristol, GBR)",
319179,Goose European Tour II 23 Millward - 1st,2023 European Tour Leg 2,*multiple venue tour poster,unassigned — no show or tour; no parseable event date,,
319178,Goose Glasgow 23 Malleus - 1st,"November 15, 2023","Barras Art and Design, Glasgow SCO",no instagram link: Malleus,"2023-11-15 Barras Art and Design (Glasgow, GBR)",
319162,Goose Brussels 23 Hanke - 1st,"November 13, 2023","Ab Club - Brussels, BEL",no instagram link: Alexander Hanke,"2023-11-13 Ancienne Belgique (Brussels, BEL)",
319087,Goose Copenhagen 23 Ahmed - 1st,"November 9, 2023","Hotel Cecil, Copenhagen Denmark",no instagram link: Bassant Ahmed,"2023-11-09 Hotel Cecil (Copenhagen, DNK)",
318877,Goose European Tour I 23 Loeffler - 1st,2023 European Tour Leg 1,*multiple venue tour poster,unassigned — no show or tour; no parseable event date; no instagram link: Max Loeffler,,
318817,Goose GOOOOSE Sticker Sheet 23 - 1st,Fall Tour 2023,*multiple venues,tour matched fuzzily: '2023 Fall'; no parseable event date; no instagram link: Goose,,2023 Fall
318816,Goose Bubble Text Sticker 23 Morlan - 1st,Fall Tour 2023,*multiple venues,tour matched fuzzily: '2023 Fall'; no parseable event date; no instagram link: Garrett Maurer Morlan,,2023 Fall
318815,Goose Caricature Koozie 23 Morlan - 1st,Fall Tour 2023,*multiple venues,tour matched fuzzily: '2023 Fall'; no parseable event date; no instagram link: Garrett Maurer Morlan,,2023 Fall
318515,Goose Flagstaff 23 Loeffler - Web,"October 3, 2023","Pepsi Amphiteater - Flagstaff, AZ",no instagram link: Max Loeffler,"2023-10-03 Pepsi Amphitheater (Flagstaff, AZ)",
318382,Goose CAMP Koozie 23 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318381,Goose Back to School Set 21 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318380,Goose Strange Man Figurine 21 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318379,Goose Globe Bandana 22 - 1st,Summer Tour 2022,*multiple venues,tour matched fuzzily: '2022 Summer'; no parseable event date; no instagram link: Goose,,2022 Summer
318378,Goose Spring Tour Tote 23 - 1st,Spring Tour 2023,*multiple venues,tour matched fuzzily: '2023 Spring'; no parseable event date,,2023 Spring
318377,Goose Ferris Wheel Blanket 23 - 1st,Fall Tour 2023,*multiple venues,tour matched fuzzily: '2023 Fall'; no parseable event date; no instagram link: Goose,,2023 Fall
318376,Goose Woven Blanket 20 Deas - 1st,,,unassigned — no show or tour; no parseable event date,,
318375,Goose Humbles™ Nalgene Bottle 22 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318372,Goose Ceramic Mug 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318369,Goose Scarves 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318367,Goose Air Freshener 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318363,Goose Bumper Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318362,Goose Orange Logo Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318361,Goose Goo Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318359,Goose Script Logo Drink Cooler 19 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318357,Goose Coach Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318356,GooseTweekz Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318355,Goose Handini Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318354,Goose Ben Sticker 20 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318344,Goose Hungersite Vinyl Slipmat 22 - 1st,,,unassigned — no show or tour; no parseable event date; no instagram link: Goose,,
318338,Goose Playing Cards 19 Lovering - 1st,,,unassigned — no show or tour; no parseable event date,,
318337,Goose Goosemas IV 17 Thresher - 1st,Goosemas IV 2017,Factory Underground,"unassigned — no show or tour; no parseable event date; no instagram link: Goose, Will Thresher",,
318336,Goose Cherry Wood Logo Sign 20 Parry - 1st,,,"unassigned — no show or tour; no parseable event date; no instagram link: Goose, Matthew Parry",,
318335,Goose Summer Tour Poster 18 - 1st,2018 Goose,*multiple venue tour poster,tour matched fuzzily: '2018 Summer'; no parseable event date; no instagram link: Goose,,2018 Summer
